FRECUENCIA;DIAMES;DIASEMANA;MESTEXTO;AÑO;VALOR
02 JUN 1999;2;miércoles;junio;1999;10068,80
03 JUN 1999;3;jueves;junio;1999;10221,50
04 JUN 1999;4;viernes;junio;1999;10244,70
07 JUN 1999;7;lunes;junio;1999;10280,20
08 JUN 1999;8;martes;junio;1999;10221,80
09 JUN 1999;9;miércoles;junio;1999;10242,80
10 JUN 1999;10;jueves;junio;1999;10096,20
11 JUN 1999;11;viernes;junio;1999;10195,30
14 JUN 1999;14;lunes;junio;1999;10100,00
15 JUN 1999;15;martes;junio;1999;10179,70
16 JUN 1999;16;miércoles;junio;1999;10190,80
17 JUN 1999;17;jueves;junio;1999;10195,00
18 JUN 1999;18;viernes;junio;1999;10337,50
21 JUN 1999;21;lunes;junio;1999;10382,70
22 JUN 1999;22;martes;junio;1999;10387,70
23 JUN 1999;23;miércoles;junio;1999;10380,70
24 JUN 1999;24;jueves;junio;1999;10333,60
25 JUN 1999;25;viernes;junio;1999;10290,30
28 JUN 1999;28;lunes;junio;1999;10291,10
29 JUN 1999;29;martes;junio;1999;10299,60
30 JUN 1999;30;miércoles;junio;1999;10218,60
01 JUL 1999;1;jueves;julio;1999;10370,50
02 JUL 1999;2;viernes;julio;1999;10402,30
05 JUL 1999;5;lunes;julio;1999;10555,60
06 JUL 1999;6;martes;julio;1999;10474,40
07 JUL 1999;7;miércoles;julio;1999;10402,80
08 JUL 1999;8;jueves;julio;1999;10311,30
09 JUL 1999;9;viernes;julio;1999;10333,20
12 JUL 1999;12;lunes;julio;1999;10311,90
13 JUL 1999;13;martes;julio;1999;10119,00
14 JUL 1999;14;miércoles;julio;1999;10009,30
15 JUL 1999;15;jueves;julio;1999;10134,60
16 JUL 1999;16;viernes;julio;1999;10119,20
19 JUL 1999;19;lunes;julio;1999;10190,90
20 JUL 1999;20;martes;julio;1999;10057,90
21 JUL 1999;21;miércoles;julio;1999;9999,80
22 JUL 1999;22;jueves;julio;1999;9896,10
23 JUL 1999;23;viernes;julio;1999;9771,60
26 JUL 1999;26;lunes;julio;1999;9684,90
27 JUL 1999;27;martes;julio;1999;9583,40
28 JUL 1999;28;miércoles;julio;1999;9571,50
29 JUL 1999;29;jueves;julio;1999;9292,60
30 JUL 1999;30;viernes;julio;1999;9391,90
02 AGO 1999;2;lunes;agosto;1999;9400,10
03 AGO 1999;3;martes;agosto;1999;9434,20
04 AGO 1999;4;miércoles;agosto;1999;9436,20
05 AGO 1999;5;jueves;agosto;1999;9194,50
06 AGO 1999;6;viernes;agosto;1999;9140,70
09 AGO 1999;9;lunes;agosto;1999;9335,70
10 AGO 1999;10;martes;agosto;1999;9230,20
11 AGO 1999;11;miércoles;agosto;1999;9360,40
12 AGO 1999;12;jueves;agosto;1999;9407,90
13 AGO 1999;13;viernes;agosto;1999;9561,70
16 AGO 1999;16;lunes;agosto;1999;9474,50
17 AGO 1999;17;martes;agosto;1999;9613,50
18 AGO 1999;18;miércoles;agosto;1999;9570,90
19 AGO 1999;19;jueves;agosto;1999;9569,30
20 AGO 1999;20;viernes;agosto;1999;9738,30
23 AGO 1999;23;lunes;agosto;1999;9730,00
24 AGO 1999;24;martes;agosto;1999;9861,70
25 AGO 1999;25;miércoles;agosto;1999;9941,40
26 AGO 1999;26;jueves;agosto;1999;9931,90
27 AGO 1999;27;viernes;agosto;1999;10058,40
30 AGO 1999;30;lunes;agosto;1999;10006,20
31 AGO 1999;31;martes;agosto;1999;9806,10
01 SEP 1999;1;miércoles;septiembre;1999;9903,60
02 SEP 1999;2;jueves;septiembre;1999;9694,00
03 SEP 1999;3;viernes;septiembre;1999;9943,10
06 SEP 1999;6;lunes;septiembre;1999;9975,40
07 SEP 1999;7;martes;septiembre;1999;9871,20
08 SEP 1999;8;miércoles;septiembre;1999;9891,60
09 SEP 1999;9;jueves;septiembre;1999;10028,00
10 SEP 1999;10;viernes;septiembre;1999;10026,60
13 SEP 1999;13;lunes;septiembre;1999;9919,00
14 SEP 1999;14;martes;septiembre;1999;9779,20
15 SEP 1999;15;miércoles;septiembre;1999;9728,60
16 SEP 1999;16;jueves;septiembre;1999;9645,70
17 SEP 1999;17;viernes;septiembre;1999;9728,20
20 SEP 1999;20;lunes;septiembre;1999;9722,80
21 SEP 1999;21;martes;septiembre;1999;9621,80
22 SEP 1999;22;miércoles;septiembre;1999;9655,00
23 SEP 1999;23;jueves;septiembre;1999;9720,40
24 SEP 1999;24;viernes;septiembre;1999;9617,70
27 SEP 1999;27;lunes;septiembre;1999;9707,80
28 SEP 1999;28;martes;septiembre;1999;9639,90
29 SEP 1999;29;miércoles;septiembre;1999;9552,50
30 SEP 1999;30;jueves;septiembre;1999;9525,40
01 OCT 1999;1;viernes;octubre;1999;9482,80
04 OCT 1999;4;lunes;octubre;1999;9601,00
05 OCT 1999;5;martes;octubre;1999;9656,30
06 OCT 1999;6;miércoles;octubre;1999;9624,70
07 OCT 1999;7;jueves;octubre;1999;9721,00
08 OCT 1999;8;viernes;octubre;1999;9770,90
11 OCT 1999;11;lunes;octubre;1999;9808,20
12 OCT 1999;12;martes;octubre;1999;-
13 OCT 1999;13;miércoles;octubre;1999;9592,50
14 OCT 1999;14;jueves;octubre;1999;9548,90
15 OCT 1999;15;viernes;octubre;1999;9376,70
18 OCT 1999;18;lunes;octubre;1999;9290,80
19 OCT 1999;19;martes;octubre;1999;9413,40
20 OCT 1999;20;miércoles;octubre;1999;9405,60
21 OCT 1999;21;jueves;octubre;1999;9270,20
22 OCT 1999;22;viernes;octubre;1999;9389,40
25 OCT 1999;25;lunes;octubre;1999;9304,80
26 OCT 1999;26;martes;octubre;1999;9443,30
27 OCT 1999;27;miércoles;octubre;1999;9419,20
28 OCT 1999;28;jueves;octubre;1999;9610,30
29 OCT 1999;29;viernes;octubre;1999;9741,50
01 NOV 1999;1;lunes;noviembre;1999;-
02 NOV 1999;2;martes;noviembre;1999;9847,90
03 NOV 1999;3;miércoles;noviembre;1999;9936,90
04 NOV 1999;4;jueves;noviembre;1999;10113,40
05 NOV 1999;5;viernes;noviembre;1999;10231,30
08 NOV 1999;8;lunes;noviembre;1999;10336,80
09 NOV 1999;9;martes;noviembre;1999;10260,10
10 NOV 1999;10;miércoles;noviembre;1999;10354,30
11 NOV 1999;11;jueves;noviembre;1999;10497,10
12 NOV 1999;12;viernes;noviembre;1999;10469,90
15 NOV 1999;15;lunes;noviembre;1999;10555,90
16 NOV 1999;16;martes;noviembre;1999;10619,70
17 NOV 1999;17;miércoles;noviembre;1999;10639,70
18 NOV 1999;18;jueves;noviembre;1999;10725,90
19 NOV 1999;19;viernes;noviembre;1999;10793,00
22 NOV 1999;22;lunes;noviembre;1999;10613,60
23 NOV 1999;23;martes;noviembre;1999;10685,10
24 NOV 1999;24;miércoles;noviembre;1999;10720,20
25 NOV 1999;25;jueves;noviembre;1999;10945,20
26 NOV 1999;26;viernes;noviembre;1999;10971,30
29 NOV 1999;29;lunes;noviembre;1999;10892,50
30 NOV 1999;30;martes;noviembre;1999;10958,10
01 DIC 1999;1;miércoles;diciembre;1999;11084,30
02 DIC 1999;2;jueves;diciembre;1999;11166,60
03 DIC 1999;3;viernes;diciembre;1999;11310,00
06 DIC 1999;6;lunes;diciembre;1999;-
07 DIC 1999;7;martes;diciembre;1999;11549,60
08 DIC 1999;8;miércoles;diciembre;1999;-
09 DIC 1999;9;jueves;diciembre;1999;11560,10
10 DIC 1999;10;viernes;diciembre;1999;11434,50
13 DIC 1999;13;lunes;diciembre;1999;11465,80
14 DIC 1999;14;martes;diciembre;1999;11480,10
15 DIC 1999;15;miércoles;diciembre;1999;11372,50
16 DIC 1999;16;jueves;diciembre;1999;11427,10
17 DIC 1999;17;viernes;diciembre;1999;11613,10
20 DIC 1999;20;lunes;diciembre;1999;11673,10
21 DIC 1999;21;martes;diciembre;1999;11572,80
22 DIC 1999;22;miércoles;diciembre;1999;11585,50
23 DIC 1999;23;jueves;diciembre;1999;11686,60
24 DIC 1999;24;viernes;diciembre;1999;-
27 DIC 1999;27;lunes;diciembre;1999;11615,70
28 DIC 1999;28;martes;diciembre;1999;11517,60
29 DIC 1999;29;miércoles;diciembre;1999;11581,40
30 DIC 1999;30;jueves;diciembre;1999;11641,40
31 DIC 1999;31;viernes;diciembre;1999;-
03 ENE 2000;3;lunes;enero;2000;11610,00
04 ENE 2000;4;martes;enero;2000;11206,60
05 ENE 2000;5;miércoles;enero;2000;10863,10
06 ENE 2000;6;jueves;enero;2000;-
07 ENE 2000;7;viernes;enero;2000;11102,40
10 ENE 2000;10;lunes;enero;2000;11173,30
11 ENE 2000;11;martes;enero;2000;11012,40
12 ENE 2000;12;miércoles;enero;2000;10851,80
13 ENE 2000;13;jueves;enero;2000;10931,90
14 ENE 2000;14;viernes;enero;2000;11184,00
17 ENE 2000;17;lunes;enero;2000;11285,60
18 ENE 2000;18;martes;enero;2000;11066,30
19 ENE 2000;19;miércoles;enero;2000;11120,70
20 ENE 2000;20;jueves;enero;2000;11047,60
21 ENE 2000;21;viernes;enero;2000;10969,30
24 ENE 2000;24;lunes;enero;2000;10955,00
25 ENE 2000;25;martes;enero;2000;10863,50
26 ENE 2000;26;miércoles;enero;2000;11031,40
27 ENE 2000;27;jueves;enero;2000;11206,60
28 ENE 2000;28;viernes;enero;2000;11009,30
31 ENE 2000;31;lunes;enero;2000;10835,10
01 FEB 2000;1;martes;febrero;2000;10970,00
02 FEB 2000;2;miércoles;febrero;2000;11195,60
03 FEB 2000;3;jueves;febrero;2000;11544,10
04 FEB 2000;4;viernes;febrero;2000;11580,10
07 FEB 2000;7;lunes;febrero;2000;11506,80
08 FEB 2000;8;martes;febrero;2000;11834,80
09 FEB 2000;9;miércoles;febrero;2000;11939,50
10 FEB 2000;10;jueves;febrero;2000;12020,60
11 FEB 2000;11;viernes;febrero;2000;12432,60
14 FEB 2000;14;lunes;febrero;2000;12458,60
15 FEB 2000;15;martes;febrero;2000;12165,10
16 FEB 2000;16;miércoles;febrero;2000;12235,10
17 FEB 2000;17;jueves;febrero;2000;12326,70
18 FEB 2000;18;viernes;febrero;2000;12368,00
21 FEB 2000;21;lunes;febrero;2000;12260,30
22 FEB 2000;22;martes;febrero;2000;12076,90
23 FEB 2000;23;miércoles;febrero;2000;12312,30
24 FEB 2000;24;jueves;febrero;2000;12352,30
25 FEB 2000;25;viernes;febrero;2000;12690,90
28 FEB 2000;28;lunes;febrero;2000;12467,00
29 FEB 2000;29;martes;febrero;2000;12585,80
01 MAR 2000;1;miércoles;marzo;2000;12538,70
02 MAR 2000;2;jueves;marzo;2000;12709,60
03 MAR 2000;3;viernes;marzo;2000;12745,00
06 MAR 2000;6;lunes;marzo;2000;12816,80
07 MAR 2000;7;martes;marzo;2000;12667,20
08 MAR 2000;8;miércoles;marzo;2000;12668,30
09 MAR 2000;9;jueves;marzo;2000;12563,20
10 MAR 2000;10;viernes;marzo;2000;12513,70
13 MAR 2000;13;lunes;marzo;2000;12359,70
14 MAR 2000;14;martes;marzo;2000;12555,80
15 MAR 2000;15;miércoles;marzo;2000;12279,50
16 MAR 2000;16;jueves;marzo;2000;12260,90
17 MAR 2000;17;viernes;marzo;2000;12369,80
20 MAR 2000;20;lunes;marzo;2000;12362,40
21 MAR 2000;21;martes;marzo;2000;12308,30
22 MAR 2000;22;miércoles;marzo;2000;12172,20
23 MAR 2000;23;jueves;marzo;2000;12073,30
24 MAR 2000;24;viernes;marzo;2000;12213,80
27 MAR 2000;27;lunes;marzo;2000;12162,00
28 MAR 2000;28;martes;marzo;2000;12211,10
29 MAR 2000;29;miércoles;marzo;2000;12088,60
30 MAR 2000;30;jueves;marzo;2000;11833,40
31 MAR 2000;31;viernes;marzo;2000;11935,00
03 ABR 2000;3;lunes;abril;2000;11686,40
04 ABR 2000;4;martes;abril;2000;11584,20
05 ABR 2000;5;miércoles;abril;2000;11374,60
06 ABR 2000;6;jueves;abril;2000;11607,90
07 ABR 2000;7;viernes;abril;2000;11790,60
10 ABR 2000;10;lunes;abril;2000;11768,70
11 ABR 2000;11;martes;abril;2000;11515,30
12 ABR 2000;12;miércoles;abril;2000;11542,10
13 ABR 2000;13;jueves;abril;2000;11647,20
14 ABR 2000;14;viernes;abril;2000;11363,90
17 ABR 2000;17;lunes;abril;2000;11217,30
18 ABR 2000;18;martes;abril;2000;11261,50
19 ABR 2000;19;miércoles;abril;2000;11339,80
20 ABR 2000;20;jueves;abril;2000;11502,00
21 ABR 2000;21;viernes;abril;2000;-
24 ABR 2000;24;lunes;abril;2000;-
25 ABR 2000;25;martes;abril;2000;11425,50
26 ABR 2000;26;miércoles;abril;2000;11481,50
27 ABR 2000;27;jueves;abril;2000;11273,00
28 ABR 2000;28;viernes;abril;2000;11467,90
01 MAY 2000;1;lunes;mayo;2000;-
02 MAY 2000;2;martes;mayo;2000;11867,20
03 MAY 2000;3;miércoles;mayo;2000;11667,90
04 MAY 2000;4;jueves;mayo;2000;11597,50
05 MAY 2000;5;viernes;mayo;2000;11560,90
08 MAY 2000;8;lunes;mayo;2000;11304,00
09 MAY 2000;9;martes;mayo;2000;11071,70
10 MAY 2000;10;miércoles;mayo;2000;10832,30
11 MAY 2000;11;jueves;mayo;2000;11036,30
12 MAY 2000;12;viernes;mayo;2000;11102,60
15 MAY 2000;15;lunes;mayo;2000;11009,30
16 MAY 2000;16;martes;mayo;2000;11220,70
17 MAY 2000;17;miércoles;mayo;2000;10905,30
18 MAY 2000;18;jueves;mayo;2000;10889,60
19 MAY 2000;19;viernes;mayo;2000;10544,90
22 MAY 2000;22;lunes;mayo;2000;10326,30
23 MAY 2000;23;martes;mayo;2000;10380,10
24 MAY 2000;24;miércoles;mayo;2000;10342,40
25 MAY 2000;25;jueves;mayo;2000;10560,60
26 MAY 2000;26;viernes;mayo;2000;10437,10
29 MAY 2000;29;lunes;mayo;2000;10558,90
30 MAY 2000;30;martes;mayo;2000;10648,50
31 MAY 2000;31;miércoles;mayo;2000;10688,50
01 JUN 2000;1;jueves;junio;2000;10875,50
02 JUN 2000;2;viernes;junio;2000;11141,50
05 JUN 2000;5;lunes;junio;2000;11004,20
06 JUN 2000;6;martes;junio;2000;10782,50
07 JUN 2000;7;miércoles;junio;2000;10688,90
08 JUN 2000;8;jueves;junio;2000;10799,60
09 JUN 2000;9;viernes;junio;2000;10873,20
12 JUN 2000;12;lunes;junio;2000;10791,30
13 JUN 2000;13;martes;junio;2000;10806,00
14 JUN 2000;14;miércoles;junio;2000;10880,70
15 JUN 2000;15;jueves;junio;2000;10876,00
16 JUN 2000;16;viernes;junio;2000;10723,80
19 JUN 2000;19;lunes;junio;2000;10595,60
20 JUN 2000;20;martes;junio;2000;10563,40
21 JUN 2000;21;miércoles;junio;2000;10351,40
22 JUN 2000;22;jueves;junio;2000;10490,50
23 JUN 2000;23;viernes;junio;2000;10533,10
26 JUN 2000;26;lunes;junio;2000;10488,90
27 JUN 2000;27;martes;junio;2000;10528,20
28 JUN 2000;28;miércoles;junio;2000;10583,20
29 JUN 2000;29;jueves;junio;2000;10366,40
30 JUN 2000;30;viernes;junio;2000;10581,30
03 JUL 2000;3;lunes;julio;2000;10676,70
04 JUL 2000;4;martes;julio;2000;10848,90
05 JUL 2000;5;miércoles;julio;2000;10757,60
06 JUL 2000;6;jueves;julio;2000;10739,60
07 JUL 2000;7;viernes;julio;2000;10896,70
10 JUL 2000;10;lunes;julio;2000;10828,90
11 JUL 2000;11;martes;julio;2000;10874,80
12 JUL 2000;12;miércoles;julio;2000;10878,70
13 JUL 2000;13;jueves;julio;2000;10848,20
14 JUL 2000;14;viernes;julio;2000;11002,60
17 JUL 2000;17;lunes;julio;2000;10949,20
18 JUL 2000;18;martes;julio;2000;10791,50
19 JUL 2000;19;miércoles;julio;2000;10850,70
20 JUL 2000;20;jueves;julio;2000;10986,10
21 JUL 2000;21;viernes;julio;2000;10879,60
24 JUL 2000;24;lunes;julio;2000;10831,50
25 JUL 2000;25;martes;julio;2000;10714,60
26 JUL 2000;26;miércoles;julio;2000;10743,80
27 JUL 2000;27;jueves;julio;2000;10726,00
28 JUL 2000;28;viernes;julio;2000;10560,00
31 JUL 2000;31;lunes;julio;2000;10531,60
01 AGO 2000;1;martes;agosto;2000;10549,00
02 AGO 2000;2;miércoles;agosto;2000;10644,50
03 AGO 2000;3;jueves;agosto;2000;10453,00
04 AGO 2000;4;viernes;agosto;2000;10583,40
07 AGO 2000;7;lunes;agosto;2000;10707,70
08 AGO 2000;8;martes;agosto;2000;10867,60
09 AGO 2000;9;miércoles;agosto;2000;10951,90
10 AGO 2000;10;jueves;agosto;2000;11110,60
11 AGO 2000;11;viernes;agosto;2000;11094,60
14 AGO 2000;14;lunes;agosto;2000;11210,60
15 AGO 2000;15;martes;agosto;2000;11207,90
16 AGO 2000;16;miércoles;agosto;2000;11342,70
17 AGO 2000;17;jueves;agosto;2000;11155,50
18 AGO 2000;18;viernes;agosto;2000;11065,50
21 AGO 2000;21;lunes;agosto;2000;11093,50
22 AGO 2000;22;martes;agosto;2000;10934,60
23 AGO 2000;23;miércoles;agosto;2000;10798,10
24 AGO 2000;24;jueves;agosto;2000;10720,10
25 AGO 2000;25;viernes;agosto;2000;10818,30
28 AGO 2000;28;lunes;agosto;2000;10907,50
29 AGO 2000;29;martes;agosto;2000;10840,60
30 AGO 2000;30;miércoles;agosto;2000;10869,60
31 AGO 2000;31;jueves;agosto;2000;10884,70
01 SEP 2000;1;viernes;septiembre;2000;11170,10
04 SEP 2000;4;lunes;septiembre;2000;11246,30
05 SEP 2000;5;martes;septiembre;2000;11188,20
06 SEP 2000;6;miércoles;septiembre;2000;11238,50
07 SEP 2000;7;jueves;septiembre;2000;11282,50
08 SEP 2000;8;viernes;septiembre;2000;11103,30
11 SEP 2000;11;lunes;septiembre;2000;11229,80
12 SEP 2000;12;martes;septiembre;2000;11311,80
13 SEP 2000;13;miércoles;septiembre;2000;11212,50
14 SEP 2000;14;jueves;septiembre;2000;11451,60
15 SEP 2000;15;viernes;septiembre;2000;11463,10
18 SEP 2000;18;lunes;septiembre;2000;11188,10
19 SEP 2000;19;martes;septiembre;2000;11065,50
20 SEP 2000;20;miércoles;septiembre;2000;10901,30
21 SEP 2000;21;jueves;septiembre;2000;10803,40
22 SEP 2000;22;viernes;septiembre;2000;11029,40
25 SEP 2000;25;lunes;septiembre;2000;11159,10
26 SEP 2000;26;martes;septiembre;2000;10956,00
27 SEP 2000;27;miércoles;septiembre;2000;10957,60
28 SEP 2000;28;jueves;septiembre;2000;11023,10
29 SEP 2000;29;viernes;septiembre;2000;10950,00
02 OCT 2000;2;lunes;octubre;2000;11152,50
03 OCT 2000;3;martes;octubre;2000;11271,20
04 OCT 2000;4;miércoles;octubre;2000;11159,30
05 OCT 2000;5;jueves;octubre;2000;11237,30
06 OCT 2000;6;viernes;octubre;2000;11150,00
09 OCT 2000;9;lunes;octubre;2000;10838,80
10 OCT 2000;10;martes;octubre;2000;10950,70
11 OCT 2000;11;miércoles;octubre;2000;10618,70
12 OCT 2000;12;jueves;octubre;2000;-
13 OCT 2000;13;viernes;octubre;2000;10385,40
16 OCT 2000;16;lunes;octubre;2000;10455,20
17 OCT 2000;17;martes;octubre;2000;10375,40
18 OCT 2000;18;miércoles;octubre;2000;10056,10
19 OCT 2000;19;jueves;octubre;2000;10367,30
20 OCT 2000;20;viernes;octubre;2000;10443,60
23 OCT 2000;23;lunes;octubre;2000;10329,90
24 OCT 2000;24;martes;octubre;2000;10666,90
25 OCT 2000;25;miércoles;octubre;2000;10517,40
26 OCT 2000;26;jueves;octubre;2000;10324,70
27 OCT 2000;27;viernes;octubre;2000;10395,70
30 OCT 2000;30;lunes;octubre;2000;10307,30
31 OCT 2000;31;martes;octubre;2000;10363,10
01 NOV 2000;1;miércoles;noviembre;2000;-
02 NOV 2000;2;jueves;noviembre;2000;10507,00
03 NOV 2000;3;viernes;noviembre;2000;10542,70
06 NOV 2000;6;lunes;noviembre;2000;10610,50
07 NOV 2000;7;martes;noviembre;2000;10573,60
08 NOV 2000;8;miércoles;noviembre;2000;10488,40
09 NOV 2000;9;jueves;noviembre;2000;10273,50
10 NOV 2000;10;viernes;noviembre;2000;9986,00
13 NOV 2000;13;lunes;noviembre;2000;9897,30
14 NOV 2000;14;martes;noviembre;2000;10274,80
15 NOV 2000;15;miércoles;noviembre;2000;10294,10
16 NOV 2000;16;jueves;noviembre;2000;10135,30
17 NOV 2000;17;viernes;noviembre;2000;9845,90
20 NOV 2000;20;lunes;noviembre;2000;9548,70
21 NOV 2000;21;martes;noviembre;2000;9594,00
22 NOV 2000;22;miércoles;noviembre;2000;9252,50
23 NOV 2000;23;jueves;noviembre;2000;9334,80
24 NOV 2000;24;viernes;noviembre;2000;9642,30
27 NOV 2000;27;lunes;noviembre;2000;9541,90
28 NOV 2000;28;martes;noviembre;2000;9358,00
29 NOV 2000;29;miércoles;noviembre;2000;9477,30
30 NOV 2000;30;jueves;noviembre;2000;9214,50
01 DIC 2000;1;viernes;diciembre;2000;9339,40
04 DIC 2000;4;lunes;diciembre;2000;9069,10
05 DIC 2000;5;martes;diciembre;2000;9461,10
06 DIC 2000;6;miércoles;diciembre;2000;-
07 DIC 2000;7;jueves;diciembre;2000;9497,30
08 DIC 2000;8;viernes;diciembre;2000;-
11 DIC 2000;11;lunes;diciembre;2000;9788,10
12 DIC 2000;12;martes;diciembre;2000;9753,50
13 DIC 2000;13;miércoles;diciembre;2000;9716,90
14 DIC 2000;14;jueves;diciembre;2000;9518,30
15 DIC 2000;15;viernes;diciembre;2000;9155,70
18 DIC 2000;18;lunes;diciembre;2000;9052,80
19 DIC 2000;19;martes;diciembre;2000;9255,50
20 DIC 2000;20;miércoles;diciembre;2000;8864,30
21 DIC 2000;21;jueves;diciembre;2000;8964,20
22 DIC 2000;22;viernes;diciembre;2000;9039,00
25 DIC 2000;25;lunes;diciembre;2000;-
26 DIC 2000;26;martes;diciembre;2000;-
27 DIC 2000;27;miércoles;diciembre;2000;9078,50
28 DIC 2000;28;jueves;diciembre;2000;9075,60
