,year,town,drivers_age,weight,power,car_age,claims
88906,2018.0,1.0,38.0,1230.0,119.0,3.0,0.0
836739,2018.0,1.0,42.0,1300.0,106.0,8.0,1.0
438022,2018.0,1.0,33.0,1440.0,112.0,3.0,0.0
907365,2018.0,1.0,47.0,1060.0,76.0,10.0,0.0
151232,2018.0,1.0,35.0,1190.0,76.0,0.0,0.0
477912,2019.0,1.0,57.0,1480.0,179.0,4.0,0.0
987194,2019.0,1.0,82.0,1850.0,100.0,4.0,1.0
191073,2018.0,1.0,47.0,1300.0,106.0,13.0,0.0
709758,2019.0,0.0,46.0,1640.0,195.0,1.0,0.0
70491,2018.0,1.0,63.0,1050.0,85.0,7.0,0.0
738873,2019.0,1.0,35.0,2260.0,280.0,2.0,0.0
340520,2019.0,0.0,45.0,1100.0,197.0,0.0,0.0
382257,2019.0,0.0,34.0,1000.0,77.0,3.0,0.0
271639,2018.0,0.0,71.0,1040.0,100.0,1.0,1.0
218771,2019.0,1.0,23.0,1170.0,62.0,0.0,0.0
166229,2019.0,1.0,69.0,1450.0,83.0,2.0,0.0
909237,2019.0,1.0,37.0,1120.0,81.0,2.0,0.0
879784,2018.0,1.0,27.0,1720.0,142.0,5.0,0.0
761119,2019.0,0.0,50.0,1250.0,124.0,4.0,0.0
91525,2019.0,1.0,45.0,980.0,69.0,1.0,0.0
107030,2018.0,1.0,55.0,2450.0,282.0,1.0,0.0
197919,2019.0,1.0,24.0,1770.0,172.0,0.0,0.0
138476,2018.0,1.0,73.0,1050.0,77.0,5.0,0.0
161527,2018.0,0.0,39.0,1070.0,85.0,2.0,0.0
664039,2018.0,-0.0,59.0,1080.0,147.0,1.0,0.0
910758,2019.0,1.0,47.0,1390.0,153.0,8.0,0.0
149604,2018.0,1.0,31.0,1230.0,128.0,8.0,0.0
187677,2018.0,1.0,49.0,980.0,62.0,1.0,1.0
122749,2018.0,1.0,57.0,1440.0,210.0,11.0,0.0
70638,2019.0,1.0,49.0,990.0,61.0,0.0,0.0
989123,2019.0,1.0,60.0,1130.0,143.0,14.0,1.0
54882,2018.0,0.0,67.0,1190.0,124.0,2.0,0.0
363431,2018.0,-0.0,55.0,1340.0,192.0,1.0,0.0
327015,2019.0,1.0,28.0,1550.0,102.0,3.0,0.0
440795,2019.0,0.0,28.0,1350.0,94.0,1.0,0.0
581401,2019.0,1.0,57.0,1520.0,138.0,1.0,0.0
624739,2018.0,0.0,72.0,1420.0,149.0,1.0,0.0
128377,2019.0,0.0,35.0,970.0,83.0,5.0,0.0
799637,2019.0,1.0,27.0,1630.0,86.0,6.0,0.0
341786,2019.0,0.0,38.0,1430.0,117.0,0.0,0.0
856749,2019.0,1.0,55.0,1750.0,164.0,9.0,0.0
747819,2019.0,1.0,45.0,1740.0,124.0,1.0,0.0
220520,2018.0,0.0,58.0,1350.0,140.0,7.0,0.0
591618,2018.0,0.0,65.0,1650.0,177.0,7.0,0.0
7576,2019.0,-0.0,20.0,1320.0,176.0,4.0,0.0
8585,2019.0,0.0,37.0,1120.0,143.0,3.0,0.0
323620,2018.0,0.0,52.0,1760.0,74.0,10.0,0.0
250946,2018.0,1.0,29.0,1380.0,100.0,7.0,0.0
170146,2019.0,1.0,59.0,1000.0,79.0,3.0,0.0
446075,2018.0,0.0,62.0,1350.0,111.0,5.0,0.0
200543,2018.0,0.0,61.0,1510.0,126.0,5.0,0.0
879085,2019.0,-0.0,30.0,950.0,51.0,3.0,0.0
429280,2018.0,0.0,36.0,1600.0,185.0,0.0,0.0
849975,2018.0,1.0,33.0,1420.0,158.0,5.0,0.0
942666,2018.0,1.0,69.0,2180.0,223.0,4.0,0.0
687082,2019.0,1.0,25.0,1220.0,74.0,0.0,0.0
243751,2019.0,0.0,81.0,1730.0,158.0,3.0,0.0
395886,2018.0,1.0,42.0,1530.0,120.0,5.0,0.0
26897,2019.0,0.0,60.0,1310.0,140.0,5.0,0.0
942682,2018.0,1.0,63.0,1240.0,111.0,3.0,0.0
702582,2019.0,0.0,47.0,1010.0,70.0,4.0,0.0
953293,2018.0,0.0,42.0,970.0,75.0,4.0,0.0
986537,2018.0,1.0,24.0,1420.0,129.0,3.0,0.0
313750,2018.0,1.0,51.0,1250.0,166.0,6.0,0.0
50453,2018.0,1.0,33.0,1490.0,97.0,0.0,0.0
951498,2019.0,1.0,31.0,1050.0,75.0,1.0,0.0
123664,2019.0,0.0,69.0,1010.0,107.0,8.0,0.0
139461,2019.0,1.0,45.0,1370.0,166.0,3.0,0.0
651223,2019.0,1.0,55.0,1250.0,78.0,4.0,1.0
64602,2019.0,1.0,45.0,1020.0,84.0,11.0,0.0
751537,2019.0,0.0,44.0,1230.0,102.0,8.0,0.0
997925,2019.0,1.0,53.0,1960.0,172.0,1.0,0.0
229577,2018.0,1.0,60.0,1360.0,142.0,1.0,1.0
541608,2018.0,1.0,58.0,1080.0,88.0,2.0,0.0
425800,2019.0,1.0,32.0,1200.0,204.0,8.0,0.0
653719,2018.0,1.0,26.0,1150.0,83.0,2.0,0.0
871761,2018.0,0.0,30.0,1860.0,178.0,3.0,0.0
462710,2018.0,0.0,64.0,1260.0,127.0,3.0,0.0
72865,2019.0,0.0,50.0,1530.0,75.0,2.0,0.0
54501,2019.0,1.0,35.0,1870.0,208.0,3.0,0.0
408901,2019.0,1.0,28.0,1010.0,71.0,1.0,0.0
822816,2019.0,1.0,39.0,1240.0,187.0,0.0,0.0
510230,2018.0,1.0,53.0,1050.0,66.0,2.0,0.0
963591,2018.0,1.0,68.0,1020.0,59.0,8.0,0.0
686691,2019.0,0.0,37.0,1120.0,72.0,1.0,1.0
549267,2018.0,1.0,56.0,1310.0,97.0,0.0,0.0
626187,2018.0,1.0,33.0,1120.0,114.0,4.0,0.0
13624,2019.0,0.0,51.0,1340.0,120.0,1.0,0.0
462456,2018.0,0.0,46.0,1170.0,92.0,3.0,0.0
177846,2019.0,0.0,34.0,1000.0,74.0,8.0,0.0
712845,2019.0,0.0,59.0,1130.0,87.0,9.0,0.0
341523,2018.0,0.0,51.0,1030.0,99.0,0.0,0.0
440322,2019.0,1.0,58.0,1100.0,157.0,6.0,0.0
100708,2018.0,-0.0,35.0,1120.0,123.0,3.0,0.0
618512,2018.0,0.0,43.0,1110.0,70.0,1.0,0.0
546352,2019.0,1.0,72.0,1230.0,97.0,7.0,2.0
465884,2018.0,-0.0,65.0,1130.0,115.0,11.0,0.0
80701,2019.0,1.0,29.0,1040.0,73.0,4.0,0.0
867084,2019.0,1.0,40.0,980.0,60.0,3.0,0.0
80711,2018.0,0.0,68.0,970.0,64.0,7.0,0.0
372952,2019.0,1.0,48.0,1020.0,87.0,5.0,0.0
655670,2018.0,1.0,26.0,1700.0,157.0,0.0,0.0
518947,2018.0,1.0,29.0,1530.0,102.0,1.0,0.0
218036,2019.0,0.0,36.0,1350.0,124.0,2.0,0.0
918627,2018.0,0.0,50.0,1730.0,216.0,2.0,1.0
744877,2019.0,0.0,69.0,1330.0,115.0,6.0,1.0
899665,2018.0,1.0,41.0,1310.0,135.0,5.0,0.0
968480,2018.0,0.0,49.0,1500.0,121.0,6.0,0.0
538064,2019.0,1.0,21.0,1430.0,198.0,1.0,0.0
891830,2018.0,1.0,32.0,1290.0,136.0,4.0,0.0
477365,2019.0,1.0,33.0,1460.0,155.0,3.0,0.0
281743,2019.0,1.0,32.0,1160.0,64.0,2.0,0.0
363933,2019.0,1.0,40.0,1560.0,179.0,2.0,0.0
420151,2018.0,-0.0,64.0,1420.0,117.0,2.0,1.0
878608,2018.0,1.0,35.0,1280.0,88.0,1.0,0.0
827724,2019.0,1.0,63.0,1830.0,191.0,1.0,1.0
17820,2019.0,0.0,45.0,1110.0,108.0,1.0,0.0
420785,2018.0,1.0,42.0,1080.0,71.0,2.0,0.0
51352,2018.0,1.0,39.0,1180.0,126.0,8.0,0.0
722937,2019.0,0.0,58.0,1700.0,140.0,1.0,0.0
267263,2019.0,1.0,27.0,1120.0,82.0,2.0,0.0
69673,2019.0,0.0,64.0,1980.0,211.0,2.0,0.0
568061,2019.0,1.0,42.0,1060.0,64.0,7.0,0.0
617258,2018.0,1.0,37.0,1340.0,198.0,3.0,0.0
143405,2018.0,0.0,42.0,1540.0,165.0,1.0,0.0
772118,2018.0,1.0,51.0,1590.0,125.0,6.0,0.0
